[2024-12-01 14:45:39] warning: 	z2m: `permit_join` set to  `true` in configuration.yaml.
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --- parseNext [254,1,100,1,0,100]
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --> parsed 1 - 3 - 4 - 1 - [0] - 100
[2024-12-01 14:46:05] debug: 	zh:zstack:znp: <-- SRSP: AF - dataRequest - {"status":0}
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: <-- [254,3,68,128,0,1,6,192]
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --- parseNext [254,3,68,128,0,1,6,192]
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --> parsed 3 - 2 - 4 - 128 - [0,1,6] - 192
[2024-12-01 14:46:05] debug: 	zh:zstack:znp: <-- AREQ: AF - dataConfirm - {"status":0,"endpoint":1,"transid":6}
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: <-- [254,3,69,196,208,229,0,183]
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --- parseNext [254,3,69,196,208,229,0,183]
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --> parsed 3 - 2 - 5 - 196 - [208,229,0] - 183
[2024-12-01 14:46:05] debug: 	zh:zstack:znp: <-- AREQ: ZDO - srcRtgInd - {"dstaddr":58832,"relaycount":0,"relaylist":[]}
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: <-- [254,25,68,129,0,0,2,5,208,229,43,1,0,134,0,251,223,239,0,0,5,8,199,11,0,0,208,229,29,96]
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --- parseNext [254,25,68,129,0,0,2,5,208,229,43,1,0,134,0,251,223,239,0,0,5,8,199,11,0,0,208,229,29,96]
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --> parsed 25 - 2 - 4 - 129 - [0,0,2,5,208,229,43,1,0,134,0,251,223,239,0,0,5,8,199,11,0,0,208,229,29] - 96
[2024-12-01 14:46:05] debug: 	zh:zstack:znp: <-- AREQ: AF - incomingMsg - {"groupid":0,"clusterid":1282,"srcaddr":58832,"srcendpoint":43,"dstendpoint":1,"wasbroadcast":0,"linkquality":134,"securityuse":0,"timestamp":15720443,"transseqnumber":0,"len":5,"data":{"type":"Buffer","data":[8,199,11,0,0]}}
[2024-12-01 14:46:05] debug: 	zh:controller: Received payload: clusterID=1282, address=58832, groupID=0, endpoint=43, destinationEndpoint=1, wasBroadcast=false, linkQuality=134, frame={"header":{"frameControl":{"frameType":0,"manufacturerSpecific":false,"direction":1,"disableDefaultResponse":false,"reservedBits":0},"transactionSequenceNumber":199,"commandIdentifier":11},"payload":{"cmdId":0,"statusCode":0},"command":{"ID":11,"name":"defaultRsp","parameters":[{"name":"cmdId","type":32},{"name":"statusCode","type":32}]}}
[2024-12-01 14:46:05] info: 	z2m: Configuring 'Alarm Siren'
[2024-12-01 14:46:05] debug: 	zh:controller:endpoint: Bind 0x0015bc0041007a25/43 ssIasZone from '0x00124b002e0e1c5f/1'
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:writer: --> frame [254,23,37,33,208,229,37,122,0,65,0,188,21,0,43,0,5,3,95,28,14,46,0,75,18,0,1,135]
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: <-- [254,1,101,33,0,69,254,3,69,161,208,229,0,210]
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --- parseNext [254,1,101,33,0,69,254,3,69,161,208,229,0,210]
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --> parsed 1 - 3 - 5 - 33 - [0] - 69
[2024-12-01 14:46:05] debug: 	zh:zstack:znp: <-- SRSP: ZDO - bindReq - {"status":0}
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --- parseNext [254,3,69,161,208,229,0,210]
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --> parsed 3 - 2 - 5 - 161 - [208,229,0] - 210
[2024-12-01 14:46:05] debug: 	zh:zstack:znp: <-- AREQ: ZDO - bindRsp - {"srcaddr":58832,"zdo":[0,null]}
[2024-12-01 14:46:05] debug: 	zh:controller: Received ZDO response: clusterId=BIND_RESPONSE, status=SUCCESS, payload=undefined
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-12-01 14:46:05] debug: 	zh:controller:endpoint: Bind 0x0015bc0041007a25/43 ssIasWd from '0x00124b002e0e1c5f/1'
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:writer: --> frame [254,23,37,33,208,229,37,122,0,65,0,188,21,0,43,2,5,3,95,28,14,46,0,75,18,0,1,133]
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: <-- [254,1,101,33,0,69]
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --- parseNext [254,1,101,33,0,69]
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --> parsed 1 - 3 - 5 - 33 - [0] - 69
[2024-12-01 14:46:05] debug: 	zh:zstack:znp: <-- SRSP: ZDO - bindReq - {"status":0}
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: <-- [254,3,69,161,208,229,0,210]
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --- parseNext [254,3,69,161,208,229,0,210]
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --> parsed 3 - 2 - 5 - 161 - [208,229,0] - 210
[2024-12-01 14:46:05] debug: 	zh:zstack:znp: <-- AREQ: ZDO - bindRsp - {"srcaddr":58832,"zdo":[0,null]}
[2024-12-01 14:46:05] debug: 	zh:controller: Received ZDO response: clusterId=BIND_RESPONSE, status=SUCCESS, payload=undefined
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-12-01 14:46:05] debug: 	zh:controller:endpoint: Bind 0x0015bc0041007a25/43 genBasic from '0x00124b002e0e1c5f/1'
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:writer: --> frame [254,23,37,33,208,229,37,122,0,65,0,188,21,0,43,0,0,3,95,28,14,46,0,75,18,0,1,130]
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: <-- [254,1,101,33,0,69]
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --- parseNext [254,1,101,33,0,69]
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --> parsed 1 - 3 - 5 - 33 - [0] - 69
[2024-12-01 14:46:05] debug: 	zh:zstack:znp: <-- SRSP: ZDO - bindReq - {"status":0}
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: <-- [254,3,69,161,208,229,0,210]
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --- parseNext [254,3,69,161,208,229,0,210]
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --> parsed 3 - 2 - 5 - 161 - [208,229,0] - 210
[2024-12-01 14:46:05] debug: 	zh:zstack:znp: <-- AREQ: ZDO - bindRsp - {"srcaddr":58832,"zdo":[0,null]}
[2024-12-01 14:46:05] debug: 	zh:controller: Received ZDO response: clusterId=BIND_RESPONSE, status=SUCCESS, payload=undefined
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-12-01 14:46:05] debug: 	zh:controller:endpoint: ZCL command 0x0015bc0041007a25/43 ssIasZone.read(["iasCieAddr","zoneState","zoneId"], {"timeout":10000,"disableResponse":false,"disableRecovery":false,"disableDefaultResponse":true,"direction":0,"reservedBits":0,"writeUndiv":false})
[2024-12-01 14:46:05] debug: 	zh:zstack: sendZclFrameToEndpointInternal 0x0015bc0041007a25:58832/43 (0,0,2)
[2024-12-01 14:46:05] debug: 	zh:zstack:znp: --> SREQ: AF - dataRequest - {"dstaddr":58832,"destendpoint":43,"srcendpoint":1,"clusterid":1280,"transid":7,"options":0,"radius":30,"len":9,"data":{"type":"Buffer","data":[16,200,0,16,0,0,0,17,0]}}
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:writer: --> frame [254,19,36,1,208,229,43,1,0,5,7,0,30,9,16,200,0,16,0,0,0,17,0,229]
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: <-- [254,1,100,1,0,100]
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --- parseNext [254,1,100,1,0,100]
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --> parsed 1 - 3 - 4 - 1 - [0] - 100
[2024-12-01 14:46:05] debug: 	zh:zstack:znp: <-- SRSP: AF - dataRequest - {"status":0}
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: <-- [254,3,68,128,0,1,7,193]
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --- parseNext [254,3,68,128,0,1,7,193]
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --> parsed 3 - 2 - 4 - 128 - [0,1,7] - 193
[2024-12-01 14:46:05] debug: 	zh:zstack:znp: <-- AREQ: AF - dataConfirm - {"status":0,"endpoint":1,"transid":7}
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-12-01 14:46:05] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Smart Plug Z1', payload '{"child_lock":"UNLOCK","countdown":0,"current":0,"energy":16.74,"indicator_mode":"off/on","linkquality":123,"power":0,"power_outage_memory":"off","state":"ON","update":{"installed_version":192,"latest_version":192,"state":"idle"},"update_available":null,"voltage":235}'
[2024-12-01 14:46:05] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Smart Plug Z1', payload '{"child_lock":"UNLOCK","countdown":0,"current":0,"energy":16.74,"indicator_mode":"off/on","linkquality":123,"power":0,"power_outage_memory":"off","state":"ON","update":{"installed_version":192,"latest_version":192,"state":"idle"},"update_available":null,"voltage":235}'
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: <-- [254,45,68,129,0,0,0,5,208,229,43,1,0,131,0,121,70,0,0,0,25,24,200,1,16,0,0,240,95,28,14,46,0,75,18,0,0,0,0,48,1,17,0,0,32,23,208,229,29,99]
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --- parseNext [254,45,68,129,0,0,0,5,208,229,43,1,0,131,0,121,70,0,0,0,25,24,200,1,16,0,0,240,95,28,14,46,0,75,18,0,0,0,0,48,1,17,0,0,32,23,208,229,29,99]
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --> parsed 45 - 2 - 4 - 129 - [0,0,0,5,208,229,43,1,0,131,0,121,70,0,0,0,25,24,200,1,16,0,0,240,95,28,14,46,0,75,18,0,0,0,0,48,1,17,0,0,32,23,208,229,29] - 99
[2024-12-01 14:46:05] debug: 	zh:zstack:znp: <-- AREQ: AF - incomingMsg - {"groupid":0,"clusterid":1280,"srcaddr":58832,"srcendpoint":43,"dstendpoint":1,"wasbroadcast":0,"linkquality":131,"securityuse":0,"timestamp":18041,"transseqnumber":0,"len":25,"data":{"type":"Buffer","data":[24,200,1,16,0,0,240,95,28,14,46,0,75,18,0,0,0,0,48,1,17,0,0,32,23]}}
[2024-12-01 14:46:05] debug: 	zh:controller: Received payload: clusterID=1280, address=58832, groupID=0, endpoint=43, destinationEndpoint=1, wasBroadcast=false, linkQuality=131, frame={"header":{"frameControl":{"frameType":0,"manufacturerSpecific":false,"direction":1,"disableDefaultResponse":true,"reservedBits":0},"transactionSequenceNumber":200,"commandIdentifier":1},"payload":[{"attrId":16,"status":0,"dataType":240,"attrData":"0x00124b002e0e1c5f"},{"attrId":0,"status":0,"dataType":48,"attrData":1},{"attrId":17,"status":0,"dataType":32,"attrData":23}],"command":{"ID":1,"name":"readRsp","parameters":[{"name":"attrId","type":33},{"name":"status","type":32},{"name":"dataType","type":32,"conditions":[{"type":"statusEquals","value":0}]},{"name":"attrData","type":1000,"conditions":[{"type":"statusEquals","value":0}]}]}}
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-12-01 14:46:05] debug: 	z2m: Received Zigbee message from 'Alarm Siren', type 'readResponse', cluster 'ssIasZone', data '{"iasCieAddr":"0x00124b002e0e1c5f","zoneId":23,"zoneState":1}' from endpoint 43 with groupID 0
[2024-12-01 14:46:05] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Alarm Siren', payload '{"ac_status":false,"alarm":false,"battery":null,"battery_low":false,"enrolled":true,"ias_cie_address":"0x00124b002e0e1c5f","linkquality":131,"max_duration":10,"restore_reports":true,"supervision_reports":true,"tamper":false,"temperature":null,"test":false,"voltage":null,"zone_id":23}'
[2024-12-01 14:46:05] debug: 	zh:controller:endpoint: ZCL command 0x0015bc0041007a25/43 ssIasWd.read(["maxDuration"], {"timeout":10000,"disableResponse":false,"disableRecovery":false,"disableDefaultResponse":true,"direction":0,"reservedBits":0,"writeUndiv":false})
[2024-12-01 14:46:05] debug: 	zh:zstack: sendZclFrameToEndpointInternal 0x0015bc0041007a25:58832/43 (0,0,2)
[2024-12-01 14:46:05] debug: 	zh:zstack:znp: --> SREQ: AF - dataRequest - {"dstaddr":58832,"destendpoint":43,"srcendpoint":1,"clusterid":1282,"transid":8,"options":0,"radius":30,"len":5,"data":{"type":"Buffer","data":[16,201,0,0,0]}}
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:writer: --> frame [254,15,36,1,208,229,43,1,2,5,8,0,30,5,16,201,0,0,0,248]
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: <-- [254,1,100,1,0,100]
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --- parseNext [254,1,100,1,0,100]
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --> parsed 1 - 3 - 4 - 1 - [0] - 100
[2024-12-01 14:46:05] debug: 	zh:zstack:znp: <-- SRSP: AF - dataRequest - {"status":0}
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: <-- [254,3,68,128,0,1,8,206]
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --- parseNext [254,3,68,128,0,1,8,206]
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --> parsed 3 - 2 - 4 - 128 - [0,1,8] - 206
[2024-12-01 14:46:05] debug: 	zh:zstack:znp: <-- AREQ: AF - dataConfirm - {"status":0,"endpoint":1,"transid":8}
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: <-- [254,29,68,129,0,0,2,5,208,229,43,1,0,134,0,80,90,0,0,0,9,24,201,1,0,0,0,33,10,0,208,229,29,150]
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --- parseNext [254,29,68,129,0,0,2,5,208,229,43,1,0,134,0,80,90,0,0,0,9,24,201,1,0,0,0,33,10,0,208,229,29,150]
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --> parsed 29 - 2 - 4 - 129 - [0,0,2,5,208,229,43,1,0,134,0,80,90,0,0,0,9,24,201,1,0,0,0,33,10,0,208,229,29] - 150
[2024-12-01 14:46:05] debug: 	zh:zstack:znp: <-- AREQ: AF - incomingMsg - {"groupid":0,"clusterid":1282,"srcaddr":58832,"srcendpoint":43,"dstendpoint":1,"wasbroadcast":0,"linkquality":134,"securityuse":0,"timestamp":23120,"transseqnumber":0,"len":9,"data":{"type":"Buffer","data":[24,201,1,0,0,0,33,10,0]}}
[2024-12-01 14:46:05] debug: 	zh:controller: Received payload: clusterID=1282, address=58832, groupID=0, endpoint=43, destinationEndpoint=1, wasBroadcast=false, linkQuality=134, frame={"header":{"frameControl":{"frameType":0,"manufacturerSpecific":false,"direction":1,"disableDefaultResponse":true,"reservedBits":0},"transactionSequenceNumber":201,"commandIdentifier":1},"payload":[{"attrId":0,"status":0,"dataType":33,"attrData":10}],"command":{"ID":1,"name":"readRsp","parameters":[{"name":"attrId","type":33},{"name":"status","type":32},{"name":"dataType","type":32,"conditions":[{"type":"statusEquals","value":0}]},{"name":"attrData","type":1000,"conditions":[{"type":"statusEquals","value":0}]}]}}
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-12-01 14:46:05] debug: 	z2m: Received Zigbee message from 'Alarm Siren', type 'readResponse', cluster 'ssIasWd', data '{"maxDuration":10}' from endpoint 43 with groupID 0
[2024-12-01 14:46:05] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Alarm Siren', payload '{"ac_status":false,"alarm":false,"battery":null,"battery_low":false,"enrolled":true,"ias_cie_address":"0x00124b002e0e1c5f","linkquality":134,"max_duration":10,"restore_reports":true,"supervision_reports":true,"tamper":false,"temperature":null,"test":false,"voltage":null,"zone_id":23}'
[2024-12-01 14:46:05] debug: 	zh:controller:endpoint: Bind 0x0015bc0041007a25/1 genOnOff from '0x00124b002e0e1c5f/1'
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:writer: --> frame [254,23,37,33,208,229,37,122,0,65,0,188,21,0,1,6,0,3,95,28,14,46,0,75,18,0,1,174]
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: <-- [254,1,101,33,0,69]
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --- parseNext [254,1,101,33,0,69]
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --> parsed 1 - 3 - 5 - 33 - [0] - 69
[2024-12-01 14:46:05] debug: 	zh:zstack:znp: <-- SRSP: ZDO - bindReq - {"status":0}
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: <-- [254,3,69,161,208,229,0,210]
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --- parseNext [254,3,69,161,208,229,0,210]
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --> parsed 3 - 2 - 5 - 161 - [208,229,0] - 210
[2024-12-01 14:46:05] debug: 	zh:zstack:znp: <-- AREQ: ZDO - bindRsp - {"srcaddr":58832,"zdo":[0,null]}
[2024-12-01 14:46:05] debug: 	zh:controller: Received ZDO response: clusterId=BIND_RESPONSE, status=SUCCESS, payload=undefined
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-12-01 14:46:05] debug: 	zh:controller:endpoint: ZCL command 0x0015bc0041007a25/43 genBasic.read(["develcoPrimarySwVersion","develcoPrimaryHwVersion"], {"timeout":10000,"disableResponse":false,"disableRecovery":false,"disableDefaultResponse":true,"direction":0,"reservedBits":0,"manufacturerCode":4117,"writeUndiv":false})
[2024-12-01 14:46:05] debug: 	zh:zstack: sendZclFrameToEndpointInternal 0x0015bc0041007a25:58832/43 (0,0,2)
[2024-12-01 14:46:05] debug: 	zh:zstack:znp: --> SREQ: AF - dataRequest - {"dstaddr":58832,"destendpoint":43,"srcendpoint":1,"clusterid":0,"transid":9,"options":0,"radius":30,"len":9,"data":{"type":"Buffer","data":[20,21,16,202,0,0,128,32,128]}}
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:writer: --> frame [254,19,36,1,208,229,43,1,0,0,9,0,30,9,20,21,16,202,0,0,128,32,128,204]
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: <-- [254,1,100,1,0,100]
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --- parseNext [254,1,100,1,0,100]
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --> parsed 1 - 3 - 4 - 1 - [0] - 100
[2024-12-01 14:46:05] debug: 	zh:zstack:znp: <-- SRSP: AF - dataRequest - {"status":0}
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: <-- [254,3,68,128,0,1,9,207]
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --- parseNext [254,3,68,128,0,1,9,207]
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --> parsed 3 - 2 - 4 - 128 - [0,1,9] - 207
[2024-12-01 14:46:05] debug: 	zh:zstack:znp: <-- AREQ: AF - dataConfirm - {"status":0,"endpoint":1,"transid":9}
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: <-- [254,41,68,129,0,0,0,0,208,229,43,1,0,131,0,186,140,0,0,0,21,28,21,16,202,1,0,128,0,65,3,2,0,4,32,128,0,65,3,5,0,2,208,229,29,136]
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: --- parseNext [254,41,68,129,0,0,0,0,208,229,43,1,0,131,0,186,140,0,0,0,21,28,21,16,202,1,0,128,0,65,3,2,0,4,32,128,0,65,3,5,0,2,208,229,29,136]
